piano_tariff,metodo_pagamento,sesso,etacl,zona_attivaz,canale_attivaz,vas1,vas2,q01_out_ch_peak,q01_out_dur_peak,q01_out_val_peak,q01_out_dur_offpeak,q01_out_val_offpeak,q01_in_ch_tot,q01_in_dur_tot,q01_ch_sms,q09_out_ch_peak,q09_out_dur_peak,q09_out_val_peak,q09_out_dur_offpeak,q09_out_val_offpeak,q09_in_ch_tot,q09_in_dur_tot,q09_ch_sms,test
8,3,3,43.11,1,5,1,1,38,2248,34.7839,1898,5.2534,9,536,0,53,3863,25.2656,0,0,56,5900,0,0
7,2,1,35.47,1,5,1,1,50,1847.98803,20.3061,0,0,11,985,0,79,7402,33.3156,0,0,15,1494,0,0
7,3,1,18.65,2,5,1,1,0,0,0,0,0,0,0,0,17,1347,6.3333,0,0,9,163,12,0
8,1,3,20.29,4,5,1,1,0,0,0,0,0,0,0,0,15,409,3.5413,0,0,86,1911,0,0
7,2,1,26.95,1,5,2,1,256,23638,106.7749,0,0,183,17884,4,325,27843,128.1918,0,0,343,36214,7,0
8,2,2,20.78,1,5,1,1,0,0,0,0,0,0,0,0,108,13855,82.1383,0,0,103,12036,6,0
8,3,3,32.19,1,5,1,1,1,48,0.7623,161,0.58,3,659,5,37,7698,43.26,0,0,2,670,0,0
7,3,3,46.59,2,5,1,1,121,8450,53.6098,257,1.4791,152,11114,0,387,28662,137.2732,0,0,227,18874,0,0
7,2,1,38.42,3,5,2,1,72,3201.72303,38.4962,485,2.0591,258,30431,0,122,10773,49.1063,0,0,313,32189,0,0
7,3,1,19.18,1,5,1,1,0,0,0,0,0,0,0,0,600,77676,325.4298,0,0,271,38877,0,0
7,3,1,26.13,1,5,1,1,73,7246,32.1649,0,0,96,8719,0,135,14195,61.9779,0,0,124,12672,2,0
7,2,1,41.57,2,5,1,1,65,7679,43.9706,857,3.3146,67,13659,0,99,8414,38.8226,0,0,104,15866,0,0
6,2,2,33.47,3,5,2,1,31,1733,9.0917,0,0,33,1689,0,103,11460,36.874,0,0,37,7473,0,0
7,3,1,24.59,1,5,1,1,0,0,0,0,0,0,0,0,172,10123,52.1714,0,0,183,12456,0,0
8,2,1,20.88,4,9,1,1,0,0,0,0,0,0,0,0,29,1385,10.0921,0,0,44,2134,0,0
8,1,3,45.24,3,5,1,1,206,8851,81.7567,2991,13.3365,232,12000,0,116,6288,55.0197,2084,9.1175,226,12150,0,0
3,3,2,37.27,1,5,1,1,0,0,0,0,0,0,0,0,9,429,3.0161,0,0,2,117,0,0
7,3,1,21.67,2,5,1,1,0,0,0,0,0,0,0,0,657,63791,284.4392,0,0,540,50479,22,0
3,1,3,37.4,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,24.59,2,5,1,1,0,0,0,0,0,0,0,0,89,9176,56.2034,0,0,43,4059,0,0
8,1,1,33.77,2,5,1,1,53,5054,30.0645,128,0.7385,33,3244,0,40,2968,19.3382,0,0,28,3111,0,0
7,1,3,45.63,2,5,1,1,-11.282735,2484,16.4218,0,0,52,2083,0,81,4572,23.9032,0,0,41,2417,6,0
8,2,3,21.01,4,5,1,1,0,0,0,0,0,0,0,0,11,901,5.7518,0,0,5,107,0,0
8,2,2,16.16,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,31.93,2,2,1,1,164,12851.5322,65.2254,0,0,267,15576,0,136,9846,47.5068,0,0,250,13549,0,0
8,2,3,33.96,4,5,1,1,44,1980,14.1762,183,0.7747,68,1725,0,31,1720,12.0149,0,0,23,371,0,0
7,3,1,20,4,5,1,1,0,0,0,0,0,0,0,0,215,26963,113.7331,0,0,146,18931,7,0
7,2,1,19.01,3,5,1,1,0,0,0,0,0,0,0,0,122,12981,56.7137,0,0,63,7216,2,0
7,2,1,28.13,2,5,2,1,279,18659,92.2263,0,0,133,9416,7,251,23455,94.588,0,0,137,12981,2,0
7,1,3,35.96,3,9,1,1,0,0,0,0,0,0,0,0,268,66105,594.1413,0,0,72,4802,1,0
7,3,1,21.01,2,3,1,1,0,0,0,0,0,0,0,0,447,66940,273.6519,0,0,337,35370,116,0
8,1,1,33.93,4,5,1,1,0,0,0,0,0,0,0,0,335,25264,120.3541,0,0,233,15172,2,0
6,3,1,32.13,2,3,1,2,28,3642,15.2685,0,0,8,440,0,262,35039,152.2019,0,0,171,10973,0,0
7,3,1,21.01,1,5,1,1,0,0,0,0,0,0,0,0,314,35302,213.1877,0,0,44,6703,0,0
7,3,1,41.08,1,5,2,1,512,79659,391.6432,19382,54.1944,420,31183,0,474,78712,379.8463,10370,33.7902,248,30975,0,0
8,2,2,27.83,1,5,2,1,0,0,0,0,0,0,0,0,200,17222,85.3894,0,0,37,4398,0,0
7,2,2,20.49,1,5,1,1,0,0,0,0,0,0,0,0,50,2874,14.9313,0,0,11,685,0,0
7,2,1,23.01,1,5,1,1,0,0,0,0,0,0,0,0,213,20691,92.3193,0,0,197,17454,17,0
8,2,2,23.93,2,5,1,1,0,0,0,0,0,0,0,0,157,21632,126.7334,0,0,255,24212,29,0
8,2,3,26.75,4,9,1,1,83.9521175,3043,21.684,0,0,17,1079,0,129,8003,54.3277,0,0,65,3313,0,0
7,2,1,24.09,1,5,2,1,0,0,0,0,0,0,0,0,377,42193,166.1333,0,0,241,29730,0,0
7,2,1,23.93,2,5,2,1,0,0,0,0,0,0,0,0,210,22893,99.4872,0,0,150,25543,0,0
7,3,1,16.98,2,5,1,2,0,0,0,0,0,0,0,0,11,2401,9.2957,0,0,7,236,0,0
7,3,1,44.42,1,5,1,2,193,28535.383,148.4235,1124,3.579,211,32429,0,593,108934,431.3407,0,0,738,124634,0,0
8,3,1,20.16,3,3,1,1,0,0,0,0,0,0,0,0,46,3182,20.9501,0,0,148,7096,0,0
7,1,3,45.08,3,5,1,1,686,68783,304.5071,0,0,210,19563,0,623,62868,277.8956,0,0,490,39052,7,0
7,1,3,35.9,3,5,1,2,0,0,0,0,0,1775,105974,0,1057,169849,686.2741,0,0,354,11413,816,0
8,2,1,15.8,3,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,3,27.11,2,9,1,1,70,3463,24.9733,0,0,166,11941,0,76,9548,56.7679,0,0,39,3381,0,0
8,3,1,19.5,2,5,2,1,0,0,0,0,0,0,0,0,60,3092,20.8421,0,0,25,1559,0,0
8,2,3,17.93,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,23.93,3,5,1,1,0,0,0,0,0,0,0,0,2,111,0.7752,0,0,1,77,0,0
7,2,1,33.96,3,5,2,1,196,41524,161.3535,0,0,153,12277,0,233,46936,172.7342,0,0,140,21984,2,0
6,2,1,38.09,3,5,2,1,350,28671,133.4824,0,0,101,7414,0,500,64375,270.4132,0,0,115,10371,0,0
7,2,1,43.93,1,5,2,1,193,10489,55.9726,0,0,256,24710,25,187,16722,76.1412,0,0,217,16964,1,0
7,2,1,40.72,4,3,1,1,101,21844,95.4128,0,0,1,14,0,75,11121,45.5401,0,0,0,0,0,0
3,1,1,42.09,2,5,1,1,3,62,0.6115,1028,4.5753,4,90,0,30,2038,13.0132,747,2.9314,7,711,0,0
7,3,3,37.4,4,5,1,1,67.5727371,3410,21.6504,3047,28.3581,112,6840,0,79,4311,22.8109,0,0,62,2784,0,0
7,1,3,25.44,1,5,1,1,155,17245,74.613,0,0,68,3812,0,105,8816,40.8047,0,0,58,2022,0,0
8,3,1,46.09,2,5,1,1,13,1170,6.9309,531,2.0725,18,634,0,72,5641,38.4192,0,0,25,1437,9,0
7,2,3,44.59,4,5,1,1,75,1996,14.5305,0,0,66,2165,0,0,0,0,0,0,0,0,0,0
7,3,3,27.67,1,7,1,1,223,29431,176.2957,0,0,114,10423,0,173,12370,59.8031,0,0,89,6155,0,0
8,2,1,24.29,3,9,1,1,0,0,0,0,0,0,0,0,95,4879,44.4737,0,0,210,19132,0,0
7,1,1,46.59,3,5,2,1,141,22043,162.4179,30507,82.0547,250,34133,0,138,24713,71.9621,28277,42.8029,61,3020,0,0
8,1,2,35.57,3,5,1,1,23,2086,14.7671,13241,40.6829,69,18383,78,36,6386,36.436,0,0,23,2228,0,0
7,2,1,43.44,2,5,1,1,65,10735,66.8827,384,2.3953,10,317,0,47,3592,17.0622,0,0,36,1486,0,0
8,2,2,23.67,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,32.91,2,5,2,1,77,4056,28.7331,0,0,97,6445,11,116,10690,64.963,0,0,128,16683,17,0
7,3,1,23.67,2,5,1,1,0,0,0,0,0,0,0,0,47,3634,17.2032,0,0,117,10860,0,0
7,2,1,22.09,2,3,2,1,0,0,0,0,0,0,0,0,368,56090,220.3789,0,0,256,42810,0,0
8,2,2,25.11,1,5,2,1,18,2813,16.6547,0,0,6,155,5,149,13388,68.0174,0,0,84,8932,0,0
7,1,3,43.11,2,5,2,1,4,167,1.5566,1157,3.9834,12,903,0,246,29684,126.0831,0,0,77,7634,2,0
8,3,1,46.42,2,5,2,1,5,135,1.3371,96,3.6152,10,144,0,11,788,5.1739,0,0,26,1546,0,0
8,2,3,24.59,2,4,2,1,0,0,0,0,0,0,0,0,24,2438,14.6421,0,0,110,13562,0,0
7,2,1,23.5,1,2,1,1,0,0,0,0,0,0,0,0,59,8806,36.0193,0,0,69,7085,0,0
8,1,3,29.04,2,5,1,1,39.7493276,5680,46.2745,7664,28.9216,40,3409,0,150,16850,105.9842,0,0,49,5530,0,0
8,2,1,16.26,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,3,20.16,2,5,1,2,0,0,0,0,0,0,0,0,95,6040,39.7961,0,0,74,4868,1,0
8,2,1,23.5,2,3,1,2,0,0,0,0,0,0,0,0,66,4629,30.5334,0,0,246,41434,24,0
6,2,1,31.47,3,5,1,1,329,23540,113.98,0,0,245,13089,1,198,11684,60.1605,0,0,122,9792,2,0
7,3,1,22.16,2,5,1,1,0,0,0,0,0,0,0,0,473,76597,308.9507,0,0,235,44182,0,0
8,2,3,23.93,2,5,2,1,0,0,0,0,0,0,0,0,50,4106,26.2009,0,0,93,6511,0,0
8,2,3,22.16,1,5,2,1,0,0,0,0,0,0,0,0,31,11649,16.4925,0,0,9,1395,18,0
7,1,1,39.93,3,5,1,1,111,20397,80.6757,0,0,94,21700,0,66,13827,53.7022,0,0,90,18708,0,0
7,1,1,28.13,4,5,1,1,355,19926,104.3832,0,0,213,11760,0,342,17900,95.9505,0,0,118,10528,0,0
7,3,1,43.11,3,5,1,1,130,37634.0851,171.2101,27878,77.0595,375,23025,0,678,107462,435.1217,0,0,780,75892,0,0
8,2,3,44.42,4,5,1,1,66,7214.38293,23.0185,932,3.8151,65,2375,0,155,12363,79.3484,0,0,68,4183,0,0
7,3,3,31.27,2,5,1,2,146,16232,70.2412,0,0,121,13442,0,620,71412,306.4118,0,0,329,36681,0,0
7,3,3,21.9,1,5,1,1,0,0,0,0,0,0,0,0,1,33,0.2154,0,0,1,4,0,0
6,2,2,31.18,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,3,17.93,4,9,1,1,0,0,0,0,0,0,0,0,52,2766,19.5417,0,0,4,117,0,0
6,2,1,28.95,1,5,1,1,237,15614,77.4396,0,0,188,12323,1,493,49351,218.532,0,0,201,16504,2,0
3,3,1,35.47,1,5,1,1,40.794143,282,2.5074,719,3.3761,23,1757,0,20,865,6.2739,0,0,16,616,0,0
8,3,2,29.44,1,5,2,1,8,344,2.2352,515,1.4843,0,0,0,24,682,7.2454,691,2.9361,27,1048,0,0
7,1,3,36.52,2,5,1,1,144,18238,86.2617,3335,11.2634,409,23455,0,205,20456,75.1827,0,0,111,6554,0,0
6,2,1,33.14,1,5,1,1,100,16311,65.7584,0,0,257,27976,0,177,25140,103.4035,0,0,274,37535,0,0
8,1,2,16.16,1,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,28.36,2,5,1,1,150,23541,135.8943,0,0,174,17721,0,254,39815,246.462,0,0,56,5889,37,0
7,3,1,43.6,2,5,1,1,65,5872,35.2807,2899,9.0199,122,8244,0,205,14005,68.7673,0,0,205,16678,1,0
8,3,1,44.72,3,5,1,1,9,386,2.8075,0,0,4,429,0,9,692,4.4751,0,0,11,986,0,0
7,2,2,23.5,1,3,2,1,0,0,0,0,0,0,0,0,46,20375,73.9907,0,0,13,2409,0,0
8,2,1,30.98,3,7,1,1,53.4900937,1523,8.9574,534,2.0803,16,1409,0,27,2781,16.9336,0,0,13,1047,0,0
7,3,1,24.42,2,5,1,1,0,0,0,0,0,0,0,0,224,26562,179.9098,0,0,169,13760,10,0
8,2,2,22.49,3,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0
7,1,1,47.6,3,5,2,1,259,31722,309.8555,16463,250.8132,517,49999,0,263,34214,143.3343,0,0,545,53879,0,0
7,2,1,36.55,4,5,2,1,606,89371,366.2041,0,0,285,13526,0,661,53387,249.191,0,0,204,12577,0,0
8,3,1,37.4,2,5,1,1,4,1247,6.48,176,0.7566,44,6186,0,18,1117,7.4804,0,0,16,534,0,0
8,2,3,51.93,1,5,1,1,1,50,0.328,0,0,0,0,0,6,118,0.7215,0,0,2,26,0,0
7,3,3,35.14,2,5,1,1,41,3401,20.7812,948,3.9581,63,3551,0,80,10385,43.5575,0,0,58,5242,0,0
7,2,1,28.22,1,5,2,1,165.850346,15669,67.3997,0,0,148,21663,5,278,30520,147.3059,0,0,173,25675,9,0
8,2,2,24.09,4,9,1,1,0,0,0,0,0,0,0,0,17,1012,6.8369,0,0,33,4561,4,0
7,1,1,21.14,1,7,1,1,0,0,0,0,0,0,0,0,343,40717,135.0783,1892,3.4179,154,19848,29,0
8,3,1,23.31,2,5,2,1,0,0,0,0,0,0,0,0,45,3184,20.6025,0,0,37,2439,1,0
6,3,3,42.72,1,5,2,1,332.567252,33579,150.26,0,0,300,44810,2,508,69481,288.5099,0,0,236,29155,11,0
8,2,3,21.37,2,9,1,1,0,0,0,0,0,0,0,0,18,1415,9.1088,0,0,32,1583,11,0
7,2,1,34.88,4,5,1,2,73,2885,17.6711,0,0,50,2947,4,333,22061,109.367,0,0,151,5898,14,0
7,2,3,24.42,3,5,1,1,0,0,0,0,0,0,0,0,32,3110,13.8736,0,0,10,306,0,0
6,2,1,32.75,3,5,2,1,149,15253,67.2267,0,0,33,3375,0,323,44351,165.2993,0,0,52,7803,3,0
8,2,3,17.7,2,9,1,1,0,0,0,0,0,0,0,0,49,2923,20.0354,0,0,17,435,54,0
7,3,1,37.4,3,5,1,1,134.115169,12566.5328,36.4779,942,2.7708,105,4512,0,119,9463,44.4504,0,0,150,7585,0,0
7,3,3,44.09,2,5,1,1,9,2009,10.7036,1258,4.126,47,4209,0,39,7289,28.6974,0,0,44,5760,0,0
8,1,3,22.68,3,5,2,1,0,0,0,0,0,0,0,0,5,476,2.9552,0,0,3,102,0,0
7,2,1,26.95,2,5,2,1,125,15322.9714,53.4109,0,0,114,8395,0,156,14209,57.5369,0,0,181,25678,0,0
7,2,1,22.49,3,5,1,1,0,0,0,0,0,0,0,0,205,35796,142.821,0,0,105,10689,0,0
7,1,1,26.75,2,5,1,2,110,26583,102.4418,0,0,6,414,0,442,86186,338.4363,0,0,277,32432,61,0
7,3,3,41.08,3,5,1,1,345,63546,300.9415,3011,8.9259,25,3023,0,373,58675,237.9265,0,0,47,5605,0,0
8,2,3,19.54,4,9,2,1,0,0,0,0,0,0,0,0,67,9241,25.9633,0,0,110,13718,12,0
8,3,3,21.4,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,1,35.63,2,5,1,1,24,2706,14.0115,4831,14.7552,118,8540,0,30,2785,17.3669,0,0,85,7828,0,0
6,2,1,32.59,1,5,1,1,47,2835,14.4887,0,0,42,1138,0,50,5242,22.9792,0,0,28,1822,0,0
8,3,3,18.49,2,5,1,1,0,0,0,0,0,0,0,0,46,3509,22.7288,0,0,32,1494,0,0
8,1,2,19.47,1,9,1,1,0,0,0,0,0,0,0,0,76,5706,37.0837,0,0,42,3272,0,0
8,2,3,46.42,1,7,1,1,31.7642794,768,5.7198,0,0,12,730,0,16,1333,8.4818,0,0,10,162,0,0
7,2,1,20.16,4,5,2,1,0,0,0,0,0,0,0,0,171,28782,99.026,0,0,40,4302,0,0
6,2,1,34.75,1,5,2,1,158,18462,79.0608,0,0,79,8497,0,231,20250,92.6766,0,0,74,12534,0,0
8,3,1,35.14,1,5,1,2,19,792,5.8158,0,0,143,8470,0,37,3181,18.2098,283,0.9255,158,15170,0,0
8,2,3,22.49,3,9,1,1,0,0,0,0,0,0,0,0,1,2,0.1136,0,0,1,25,0,0
3,1,1,49.77,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,1,23.96,1,5,1,1,0,0,0,0,0,0,0,0,197,25176,149.3263,0,0,182,17858,10,0
8,3,3,22.16,2,5,2,1,0,0,0,0,0,0,0,0,20,771,4.0222,0,0,7,720,2,0
7,2,1,18.49,1,5,2,1,0,0,0,0,0,0,0,0,524,158410,382.0123,0,0,22,2277,3,0
6,2,1,36.55,3,5,2,1,347,35616,166.5434,0,0,272,48615,0,756,75483,270.9999,0,0,348,48711,0,0
7,3,1,22.22,1,5,1,1,0,0,0,0,0,0,0,0,165,14353,65.8193,0,0,0,0,0,0
7,1,1,32.13,2,5,1,1,5.03645406,1474,8.3072,1013,3.2965,21,1030,0,36,3424,15.3553,0,0,39,3520,0,0
8,2,1,35.9,2,5,1,1,29,1592,13.8911,1766,7.4401,24,1975,0,54,3366,22.8207,0,0,22,511,0,0
8,3,2,24.09,1,5,2,1,0,0,0,0,0,0,0,0,44,2609,8.0433,0,0,8,142,8,0
8,1,3,43.93,2,5,2,1,8,1558,6.8973,9520,19.2938,26,3034,0,200,22320,134.9016,0,0,95,15859,0,0
3,1,1,44.09,3,5,1,1,36,2107,13.8664,3336,10.1303,30,1849,1,51,3730,23.4146,790,3.1442,82,5053,0,0
4,3,1,41.86,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,0,0
7,2,1,20.52,2,5,2,1,0,0,0,0,0,0,0,0,163,27331,145.5391,10763,27.0603,160,30164,124,0
7,3,1,36.55,1,5,1,1,156,12192,75.429,88,0.3269,93,3399,0,150,12542,58.1148,0,0,26,1217,0,0
6,3,1,33.63,3,5,1,1,27,2659,11.8248,0,0,73,5159,0,13,821,4.1322,0,0,38,2079,0,0
3,3,1,35.77,3,5,1,1,129,12253,72.5038,5076,16.0912,135,5456,0,192,23077,132.1045,16469,50.8323,166,10857,2,0
8,2,3,20.78,1,9,1,1,0,0,0,0,0,0,0,0,1,17,0.1906,0,0,4,207,0,0
8,2,2,22.59,1,9,1,1,0,0,0,0,0,0,0,0,1,736,3.8739,0,0,4,63,0,0
8,1,1,46.36,1,3,2,1,0,0,0,0,0,0,0,0,53,4759,27.35,0,0,32,2611,0,0
8,3,3,36.16,1,5,1,1,0,0,0,0,0,0,0,0,64,5256,33.5392,0,0,100,5924,0,0
6,2,3,38.19,1,5,2,1,465.771937,65249.8904,246.6469,0,0,481,44818,0,474,56109,239.5374,0,0,521,61119,0,0
6,3,2,31.77,1,5,1,1,188,11465,58.3824,0,0,82,9090,0,147,10445,50.5771,0,0,59,6539,0,0
8,2,3,22.32,1,9,1,2,0,0,0,0,0,0,0,0,126,9208,43.6649,0,0,109,7687,0,0
8,1,3,20.88,1,7,1,1,0,0,0,0,0,0,0,0,17,891,6.3209,0,0,14,1685,0,0
8,2,2,18.78,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,41.57,2,5,2,1,102,10519,64.4295,0,0,75,7360,0,86,10082,55.2857,0,0,121,12869,0,0
8,2,2,43.01,1,5,1,1,0,0,0,0,0,0,0,0,191,18432,114.1592,0,0,86,14285,0,0
7,3,1,18.16,3,3,1,2,0,0,0,0,0,0,0,0,172,27585,102.6252,0,0,134,11685,0,0
8,3,3,14.98,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,3,23.27,1,9,1,1,0,0,0,0,0,0,0,0,111,32541,178.0795,0,0,87,15475,0,0
8,3,3,23.01,2,5,1,1,0,0,0,0,0,0,0,0,82,3391,25.5341,0,0,84,5096,0,0
8,2,1,20.65,1,5,1,1,0,0,0,0,0,0,0,0,63,5616,35.2797,0,0,102,9197,0,0
6,2,1,29.6,3,5,1,1,314,34651,150.1903,0,0,212,16274,0,224,15844,76.9825,0,0,154,9699,0,0
7,3,1,15.47,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,21.01,2,5,2,1,0,0,0,0,0,0,0,0,113,17075,49.5143,0,0,67,5189,28,0
7,2,3,49.57,2,5,1,1,61.3647722,2660,12.2653,7220,17.0534,27,1898,0,136,14701,64.0055,0,0,58,5585,2,0
6,2,1,33.14,1,5,1,1,132,14758,67.455,0,0,233,28275,0,218,24945,107.1875,0,0,259,31369,0,0
7,2,3,20.49,3,5,2,1,0,0,0,0,0,0,0,0,261,28404,123.1781,0,0,149,16780,0,0
7,2,3,36.26,4,5,2,1,63.4364298,5565.89731,15.9327,0,0,322,8917,6,278,33151,119.6388,0,0,250,17370,94,0
8,2,3,31.18,2,5,1,1,0,0,0,0,0,0,0,0,1,15,0.1802,0,0,28,1386,0,0
8,2,1,22.78,2,5,1,1,0,0,0,0,0,0,0,0,59,7187,42.915,0,0,60,12019,1,0
7,2,3,44.32,1,5,2,1,0,0,0,0,0,0,0,0,97,11918,45.7441,0,0,103,14601,15,0
7,2,3,23.01,2,5,1,1,0,0,0,0,0,0,0,0,69,5228,24.791,0,0,49,3544,0,0
8,2,2,20.78,3,9,1,1,0,0,0,0,0,0,0,0,3,227,1.4735,0,0,2,177,0,0
8,2,2,17.47,2,9,1,1,0,0,0,0,0,0,0,0,5,211,1.5969,0,0,5,81,0,0
7,2,3,22.13,2,9,1,1,0,0,0,0,0,0,0,0,38,1961,10.5915,0,0,68,3243,0,0
3,3,1,35.47,2,5,2,1,40,2519,14.7066,984,3.843,27,1709,0,60,9064,40.0223,1797,5.412,13,2598,0,0
